Year,Month,Mkt-RF,SMB,HML,RF
1967,November,0.37,0.18,-1.71,0.36
1967,December,3.05,5.62,-0.54,0.33
1968,January,-4.03,3.99,4.85,0.4
1968,February,-3.74,-2.94,1.23,0.39
1968,March,0.21,-1.3,-0.63,0.38
1968,April,9.02,5.66,-1.1,0.43
1968,May,2.28,6.29,0.82,0.45
1968,June,0.7,-0.19,0.66,0.43
1968,July,-2.69,-1.28,5.31,0.48
1968,August,1.35,2.42,0.99,0.42
1968,September,4.05,2.74,0.3,0.43
1968,October,0.43,-0.5,2.82,0.44
1968,November,5.43,2.34,-0.96,0.42
1968,December,-3.93,3.36,0.04,0.43
1969,January,-1.25,-0.63,1.66,0.53
1969,February,-5.86,-3.96,0.89,0.46
1969,March,2.66,-0.3,-0.42,0.46
1969,April,1.46,-0.81,0.02,0.53
1969,May,-0.09,-0.32,0.62,0.48
1969,June,-7.19,-5.34,-1.1,0.51
1969,July,-7,-3.24,1.18,0.53
1969,August,4.69,0.81,-3.75,0.5
1969,September,-2.97,1.23,-3.22,0.62
1969,October,5.06,3.92,-3.12,0.6
1969,November,-3.8,-2.55,-1.25,0.52
1969,December,-2.63,-3.68,-2.88,0.64
1970,January,-8.1,2.91,3.17,0.6
1970,February,5.14,-2.39,3.69,0.62
1970,March,-1.06,-2.31,4.08,0.57
1970,April,-10.99,-6.14,6.14,0.5
1970,May,-6.9,-4.61,3.32,0.53
1970,June,-5.8,-2.08,0.44,0.58
1970,July,6.92,-0.55,0.93,0.52
1970,August,4.5,1.48,1.41,0.53
1970,September,4.18,8.61,-5.41,0.54
1970,October,-2.27,-4.17,0.21,0.46
1970,November,4.62,-3.97,1.58,0.46
1970,December,5.74,2.82,1.04,0.42
1971,January,4.83,7.28,1.55,0.38
1971,February,1.41,1.86,-1.24,0.33
1971,March,4.12,2.6,-3.95,0.3
1971,April,3.15,-0.49,0.86,0.28
1971,May,-3.99,-1.04,-1.33,0.29
1971,June,-0.09,-1.53,-1.97,0.37
1971,July,-4.49,-1.51,-0.02,0.4
1971,August,3.79,-0.22,2.64,0.47
1971,September,-0.86,0.5,-2.9,0.37
1971,October,-4.42,-1.75,-0.51,0.37
1971,November,-0.46,-2.77,-1.67,0.37
